ID,Body,Question,Equation,Answer,Type,question_concat
chal-916,A school has 485 pupils. There are 232 girls and the rest are boys.,How many boys are there in that school?,( 485.0 - 232.0 ),253,Subtraction,A school has 485 pupils. There are 232 girls and the rest are boys. How many boys are there in that school?
chal-994,Luke scored 84 points after playing 2 rounds of a trivia game. If he gained the same number of points each round,How many points did he score per round?,( 84.0 / 2.0 ),42,Common-Division,Luke scored 84 points after playing 2 rounds of a trivia game. If he gained the same number of points each round How many points did he score per round?
chal-416,Dave had 59 files and 15 apps on his phone. After deleting some apps and files he had 12 apps and 30 files left.,How many apps did he delete?,( 15.0 - 12.0 ),3,Subtraction,Dave had 59 files and 15 apps on his phone. After deleting some apps and files he had 12 apps and 30 files left. How many apps did he delete?
chal-596,He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them.,How many oranges do they harvest per day if each sack contains 50 oranges?,( ( 76.0 - 64.0 ) * 50.0 ),600,Multiplication,He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them. How many oranges do they harvest per day if each sack contains 50 oranges?
chal-259,Marco and his dad went strawberry picking. His strawberries weighed 8 pounds while his dad's strawberries weighed 32 pounds.,Together how much did their strawberries weigh?,( 8.0 + 32.0 ),40,Addition,Marco and his dad went strawberry picking. His strawberries weighed 8 pounds while his dad's strawberries weighed 32 pounds. Together how much did their strawberries weigh?
chal-314,Katie had 81 ds games and her friends had 59 games.,How many more games does Katie have than her friends?,( 81.0 - 59.0 ),22,Subtraction,Katie had 81 ds games and her friends had 59 games. How many more games does Katie have than her friends?
chal-410,Nell collects baseball cards. She gave 301 of her cards to Jeff and now has 154 cards left..,How many cards did Nell have initially?,( 154.0 + 301.0 ),455,Addition,Nell collects baseball cards. She gave 301 of her cards to Jeff and now has 154 cards left.. How many cards did Nell have initially?
chal-163,Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies.,How many more salty cookies than sweet cookies did he eat?,( 28.0 - 15.0 ),13,Subtraction,Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies. How many more salty cookies than sweet cookies did he eat?
chal-305,Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work.,How much money do they have together now?,( 5.0 + 9.0 ),14,Addition,Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work. How much money do they have together now?
chal-287,Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons.,How many more crayons did he give to his friends than those he lost?,( 571.0 - 161.0 ),410,Subtraction,Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons. How many more crayons did he give to his friends than those he lost?
chal-645,Bobby had 32 pieces of candy. He ate some pieces of candy. If he has 20 pieces of candy left,How many pieces of candy did Bobby eat?,( 32.0 - 20.0 ),12,Subtraction,Bobby had 32 pieces of candy. He ate some pieces of candy. If he has 20 pieces of candy left How many pieces of candy did Bobby eat?
chal-636,Faye had 31 packs of pencils each one having 6 pencils. She was placing her pencils into rows with 19 pencils in each row.,How many pencils does she have?,( 31.0 * 6.0 ),186,Multiplication,Faye had 31 packs of pencils each one having 6 pencils. She was placing her pencils into rows with 19 pencils in each row. How many pencils does she have?
chal-354,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day.,How many oranges do they harvest per day if each sack contains 28 oranges?,( 66.0 * 28.0 ),1848,Multiplication,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day. How many oranges do they harvest per day if each sack contains 28 oranges?
chal-69,Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends,How many crackers did Matthew have?,( 11.0 * 2.0 ),22,Multiplication,Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends How many crackers did Matthew have?
chal-679,Matthew had 23 crackers. He has 11 crackers left after he gave equal numbers of crackers to his 2 friends.,How many crackers did each friend eat?,( ( 23.0 - 11.0 ) / 2.0 ),6,Common-Division,Matthew had 23 crackers. He has 11 crackers left after he gave equal numbers of crackers to his 2 friends. How many crackers did each friend eat?
chal-834,There are 22 different books and 10 different movies in the ' crazy silly school ' series. If you read 12 of the books and watched 56 of the movies,How many more books do you still have to read?,( 22.0 - 12.0 ),10,Subtraction,There are 22 different books and 10 different movies in the ' crazy silly school ' series. If you read 12 of the books and watched 56 of the movies How many more books do you still have to read?
chal-936,Paul got a box of 531 crayons and 38 erasers for his birthday. At the end of the school year he only had 391 left while not having lost a single erasers.,How many more crayons than erasers did he have left?,( 391.0 - 38.0 ),353,Subtraction,Paul got a box of 531 crayons and 38 erasers for his birthday. At the end of the school year he only had 391 left while not having lost a single erasers. How many more crayons than erasers did he have left?
chal-680,Rachel's tree had 4 apples. She picked 2 apples from her tree. Thereafter 3 new apples grew on the tree.,How many apples are there on the tree now?,( ( 4.0 - 2.0 ) + 3.0 ),1,Addition,Rachel's tree had 4 apples. She picked 2 apples from her tree. Thereafter 3 new apples grew on the tree. How many apples are there on the tree now?
chal-720,Baker made 52 pastries and 84 cakes. If he sold 102 cakes and 94 pastries,How many more cakes than pastries did baker make?,( 84.0 - 52.0 ),32,Subtraction,Baker made 52 pastries and 84 cakes. If he sold 102 cakes and 94 pastries How many more cakes than pastries did baker make?
chal-238,Rachel picked 2 ripe apples from her tree. Now the tree has 7 apples still on it. If 6 of those are ripe and the rest are unripe,How many ripe apples did the tree have to begin with?,( 2.0 + 6.0 ),8,Addition,Rachel picked 2 ripe apples from her tree. Now the tree has 7 apples still on it. If 6 of those are ripe and the rest are unripe How many ripe apples did the tree have to begin with?
chal-266,Robin has 43 packages of gum. There are 23 pieces in each package. Robin has 8 extra pieces of gum.,How many pieces of gum does Robin have?,( ( 43.0 * 23.0 ) + 8.0 ),997,Addition,Robin has 43 packages of gum. There are 23 pieces in each package. Robin has 8 extra pieces of gum. How many pieces of gum does Robin have?
chal-91,Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles.,How many more marbles did he find than those he lost?,( 6.0 - 5.0 ),1,Subtraction,Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles. How many more marbles did he find than those he lost?
chal-836,"A grocery store had 57 bottles of regular soda, 26 bottles of diet soda and 27 bottles of lite soda.",How many bottles did they have total?,( ( 57.0 + 26.0 ) + 27.0 ),110,Addition,"A grocery store had 57 bottles of regular soda, 26 bottles of diet soda and 27 bottles of lite soda. How many bottles did they have total?"
chal-863,"They decided to hold the party in their backyard. They have 2 sets of tables, each having the same number of chairs. If there are a total of 12 chairs in the backyard",How many chairs are there for each table?,( 12.0 / 2.0 ),6,Common-Division,"They decided to hold the party in their backyard. They have 2 sets of tables, each having the same number of chairs. If there are a total of 12 chairs in the backyard How many chairs are there for each table?"
chal-55,A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers,How many customers does he have now?,( 14.0 + 10.0 ),24,Addition,A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers How many customers does he have now?
chal-658,Jerry had 8 action figures and 9 books on a shelf in his room. Later he added 10 more books to the shelf.,How many books were on his shelf in all?,( 9.0 + 10.0 ),19,Addition,Jerry had 8 action figures and 9 books on a shelf in his room. Later he added 10 more books to the shelf. How many books were on his shelf in all?
chal-944,Randy has 86 blocks. He uses 79 blocks to build a tower and 82 blocks to build a house.,How many more blocks did he use to build the house than he did to build the tower?,( 82.0 - 79.0 ),3,Subtraction,Randy has 86 blocks. He uses 79 blocks to build a tower and 82 blocks to build a house. How many more blocks did he use to build the house than he did to build the tower?
chal-407,Julia played tag with 18 kids on monday. She played tag with 10 kids on tuesday.,How many more kids did she play with on monday than on tuesday?,( 18.0 - 10.0 ),8,Subtraction,Julia played tag with 18 kids on monday. She played tag with 10 kids on tuesday. How many more kids did she play with on monday than on tuesday?
chal-381,"Frank was reading through his favorite book. The book had 41 chapters, each with the same number of pages. It has a total of 450 pages. It took Frank 30 days to finish the book.",How many pages did he read per day?,( 450.0 / 30.0 ),15,Common-Division,"Frank was reading through his favorite book. The book had 41 chapters, each with the same number of pages. It has a total of 450 pages. It took Frank 30 days to finish the book. How many pages did he read per day?"
chal-125,Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar.,How many more cups of flour than cups of sugar does she need to add now?,( 14.0 - ( 12.0 - 10.0 ) ),12,Subtraction,Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar. How many more cups of flour than cups of sugar does she need to add now?
chal-492,Jake has 7 fewer peaches than Steven who has 14 more peaches than Jill. Steven has 15 peaches.,How many peaches does Jake have?,( 15.0 - 7.0 ),8,Subtraction,Jake has 7 fewer peaches than Steven who has 14 more peaches than Jill. Steven has 15 peaches. How many peaches does Jake have?
chal-803,Allan brought 5 balloons to the park. If Jake brought 6 more balloons than the number of balloons that Allan brought,How many balloons did Jake bring to the park?,( 5.0 + 6.0 ),11,Addition,Allan brought 5 balloons to the park. If Jake brought 6 more balloons than the number of balloons that Allan brought How many balloons did Jake bring to the park?
chal-901,Marco and his dad went strawberry picking. Together their strawberries weighed 20 pounds. His dad's strawberries weighed 17 pounds.,How much did marco's strawberries weigh?,( 20.0 - 17.0 ),3,Subtraction,Marco and his dad went strawberry picking. Together their strawberries weighed 20 pounds. His dad's strawberries weighed 17 pounds. How much did marco's strawberries weigh?
chal-431,Mary is baking a cake. The recipe calls for 9 cups of flour and 5 cups of sugar. She already put in 3 cups of flour and 62 cups of sugar.,How many more cups of flour does she need to add?,( 9.0 - 3.0 ),6,Subtraction,Mary is baking a cake. The recipe calls for 9 cups of flour and 5 cups of sugar. She already put in 3 cups of flour and 62 cups of sugar. How many more cups of flour does she need to add?
chal-946,Last week Fred had 78 dollars and Jason had 31 dollars. Jason delivered newspapers and now has 57 dollars. Fred washed cars over the weekend and now has 90 dollars.,How much money did Jason earn by delivering newspapers?,( 57.0 - 31.0 ),26,Subtraction,Last week Fred had 78 dollars and Jason had 31 dollars. Jason delivered newspapers and now has 57 dollars. Fred washed cars over the weekend and now has 90 dollars. How much money did Jason earn by delivering newspapers?
chal-704,Paul had 50 books. After buying some in a garage sale he had 151 left.,How many books did he buy?,( 151.0 - 50.0 ),101,Subtraction,Paul had 50 books. After buying some in a garage sale he had 151 left. How many books did he buy?
chal-295,A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long.,How many more pages does the first chapter have than the second chapter?,( 48.0 - 11.0 ),37,Subtraction,A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long. How many more pages does the first chapter have than the second chapter?
chal-879,An industrial machine can make 6 shirts a minute. It worked for 5 minutes yesterday and for 12 minutes today.,How many shirts did machine make today?,( 6.0 * 12.0 ),72,Multiplication,An industrial machine can make 6 shirts a minute. It worked for 5 minutes yesterday and for 12 minutes today. How many shirts did machine make today?
chal-213,We ordered 17 pizzas. Each pizza has 4 slices. If there are 25 of us,How many slices of pizza are there altogether?,( 17.0 * 4.0 ),68,Multiplication,We ordered 17 pizzas. Each pizza has 4 slices. If there are 25 of us How many slices of pizza are there altogether?
chal-919,The school is planning a field trip. The school has 66 classrooms. There are 102 students in the school and 8 seats on each school bus. If 22 students do n't want to go for the trip,How many buses are needed to take the trip?,( ( 102.0 - 22.0 ) / 8.0 ),10,Common-Division,The school is planning a field trip. The school has 66 classrooms. There are 102 students in the school and 8 seats on each school bus. If 22 students do n't want to go for the trip How many buses are needed to take the trip?
chal-38,For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars.,How much more money did she receive from her mom than she did from her dad?,( 7.0 - 5.0 ),2,Subtraction,For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars. How much more money did she receive from her mom than she did from her dad?
chal-861,Baker made 7 cakes and 148 pastries. If he sold 15 cakes and 103 pastries,How many pastries would baker still have?,( 148.0 - 103.0 ),45,Subtraction,Baker made 7 cakes and 148 pastries. If he sold 15 cakes and 103 pastries How many pastries would baker still have?
chal-899,"Jack received 5 emails in the morning, 8 emails in the afternoon and 72 emails in the evening.",How many emails did Jack receive in the morning and afternoon?,( 5.0 + 8.0 ),13,Addition,"Jack received 5 emails in the morning, 8 emails in the afternoon and 72 emails in the evening. How many emails did Jack receive in the morning and afternoon?"
chal-126,Kelly has 22 nintendo games.,How many does she need to buy so that she will have 140 games left?,( 140.0 - 22.0 ),118,Subtraction,Kelly has 22 nintendo games. How many does she need to buy so that she will have 140 games left?
chal-24,There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now,How many birds had been sitting on the fence at the start?,( 5.0 - 4.0 ),1,Subtraction,There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now How many birds had been sitting on the fence at the start?
chal-840,In a school there are 902 girls and 811 boys. 44 more girls joined the school.,How many girls are there in the school now?,( 902.0 + 44.0 ),946,Addition,In a school there are 902 girls and 811 boys. 44 more girls joined the school. How many girls are there in the school now?
chal-977,Frank was reading through some books. Each book had 66 pages and it took Frank 12 days to finish each book. If he takes 492 days to finish all books,How many books did he read?,( 492.0 / 12.0 ),41,Common-Division,Frank was reading through some books. Each book had 66 pages and it took Frank 12 days to finish each book. If he takes 492 days to finish all books How many books did he read?
chal-102,Josh lost 11 marbles. If he had 19 marbles in his collection earlier,How many marbles does he have now?,( 19.0 - 11.0 ),8,Subtraction,Josh lost 11 marbles. If he had 19 marbles in his collection earlier How many marbles does he have now?
chal-116,A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today.,How many did he have left after yesterday's picking?,( 160.0 - 56.0 ),104,Subtraction,A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today. How many did he have left after yesterday's picking?
chal-436,Melissa scored 12 points in each game. If she scored a total of 36 points,How many games did she play?,( 36.0 / 12.0 ),3,Common-Division,Melissa scored 12 points in each game. If she scored a total of 36 points How many games did she play?
chal-951,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 39 inches farther than the grasshopper and the mouse jumped 94 inches lesser than the frog.",How far did the frog jump?,( 19.0 + 39.0 ),58,Addition,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 39 inches farther than the grasshopper and the mouse jumped 94 inches lesser than the frog. How far did the frog jump?"
chal-121,Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework,How many pages of reading homework did she have to complete?,( 7.0 - 4.0 ),3,Subtraction,Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework How many pages of reading homework did she have to complete?
chal-385,The ring toss game at the carnival made 120 dollars in the first 20 days and 66 dollars in the remaining 16 days.,How much did they make per day in the first 20 days at the carnival?,( 120.0 / 20.0 ),6,Common-Division,The ring toss game at the carnival made 120 dollars in the first 20 days and 66 dollars in the remaining 16 days. How much did they make per day in the first 20 days at the carnival?
chal-48,Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now,How many action figures did he add to the shelf?,( ( 8.0 + 10.0 ) - 7.0 ),11,Subtraction,Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf?
chal-172,Faye was placing 30 pencils into rows with 5 pencils in each row.,How many rows could she make?,( 30.0 / 5.0 ),6,Common-Division,Faye was placing 30 pencils into rows with 5 pencils in each row. How many rows could she make?
chal-318,Julia played tag with a total of 18 kids. She played with 4 kids on monday and yet with some more kids on tuesday.,How many kids did she play with on tuesday?,( 18.0 - 4.0 ),14,Subtraction,Julia played tag with a total of 18 kids. She played with 4 kids on monday and yet with some more kids on tuesday. How many kids did she play with on tuesday?
chal-325,Edward spent $ 6 to buy books and $ 16 to buy pens. Now he has $ 19.,How much did Edward have before he spent his money?,( ( 6.0 + 16.0 ) + 19.0 ),41,Addition,Edward spent $ 6 to buy books and $ 16 to buy pens. Now he has $ 19. How much did Edward have before he spent his money?
chal-881,Rachel picked 4 apples from her tree. If the tree had 7 apples initially.,How many apples are still there on the tree?,( 7.0 - 4.0 ),3,Subtraction,Rachel picked 4 apples from her tree. If the tree had 7 apples initially. How many apples are still there on the tree?
chal-264,Allan brought 2 balloons and Jake brought 3 balloons to the park.,How many more balloons did Jake have than Allan in the park?,( 3.0 - 2.0 ),1,Subtraction,Allan brought 2 balloons and Jake brought 3 balloons to the park. How many more balloons did Jake have than Allan in the park?
chal-146,In a school there are 135 girls and 214 boys. 496 more girls and 910 more boys joined the school.,How many boys are there in the school now?,( 214.0 + 910.0 ),1124,Addition,In a school there are 135 girls and 214 boys. 496 more girls and 910 more boys joined the school. How many boys are there in the school now?
chal-44,3 birds and 4 storks were sitting on the fence. 2 more birds came to join them.,How many more birds than storks are sitting on the fence?,( ( 3.0 + 2.0 ) - 4.0 ),1,Subtraction,3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?
chal-505,Bobby had 20 pieces of candy. He ate 34 pieces of candy. Then he ate 18 more.,How many pieces of candy did Bobby eat?,( 34.0 + 18.0 ),52,Addition,Bobby had 20 pieces of candy. He ate 34 pieces of candy. Then he ate 18 more. How many pieces of candy did Bobby eat?
chal-87,2 birds and 6 storks were sitting on the fence. 3 more birds came to join them.,How many more storks than birds are sitting on the fence?,( 6.0 - ( 2.0 + 3.0 ) ),1,Subtraction,2 birds and 6 storks were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence?
chal-377,Baker made 8 cakes. He bought 139 new cakes and sold 145 cakes.,How many more cakes did baker sell than those he bought?,( 145.0 - 139.0 ),6,Subtraction,Baker made 8 cakes. He bought 139 new cakes and sold 145 cakes. How many more cakes did baker sell than those he bought?
chal-531,The school is planning a field trip. The school has 102 classrooms. There are 11 students in the school and 99 seats on each school bus. If 8 students do n't want to go for the trip,How many students are going on the trip?,( 11.0 - 8.0 ),3,Subtraction,The school is planning a field trip. The school has 102 classrooms. There are 11 students in the school and 99 seats on each school bus. If 8 students do n't want to go for the trip How many students are going on the trip?
chal-985,Lewis earns $ 28 every week during the 1091 weeks of harvest. He also earns $ 939 per week for working overtime. If he works overtime every week,How much money does he earn during harvest season?,( ( 28.0 + 939.0 ) * 1091.0 ),1054997,Multiplication,Lewis earns $ 28 every week during the 1091 weeks of harvest. He also earns $ 939 per week for working overtime. If he works overtime every week How much money does he earn during harvest season?
chal-852,David did 30 more push-ups than Zachary in gym class today. If David did 37 push-ups,How many push-ups did Zachary do?,( 37.0 - 30.0 ),7,Subtraction,David did 30 more push-ups than Zachary in gym class today. If David did 37 push-ups How many push-ups did Zachary do?
chal-346,Haley grew some trees in her backyard. After a typhoon 5 died. If 12 trees were left,How many trees did she grow?,( 5.0 + 12.0 ),17,Addition,Haley grew some trees in her backyard. After a typhoon 5 died. If 12 trees were left How many trees did she grow?
chal-404,Dave had 16 apps and 77 files on his phone. After deleting some apps and files he had 5 apps and 23 files left.,How many apps did he delete?,( 16.0 - 5.0 ),11,Subtraction,Dave had 16 apps and 77 files on his phone. After deleting some apps and files he had 5 apps and 23 files left. How many apps did he delete?
chal-227,In Haley's class some boys love to play marbles. Haley gives 2 marbles to each boy. If she had 28 marbles,How many boys did she give the marbles to?,( 28.0 / 2.0 ),14,Common-Division,In Haley's class some boys love to play marbles. Haley gives 2 marbles to each boy. If she had 28 marbles How many boys did she give the marbles to?
chal-988,Rachel picked 3 ripe apples from her tree. Now the tree has 2 ripe apples and 27 unripe apples.,How many ripe apples did the tree have to begin with?,( 3.0 + 2.0 ),5,Addition,Rachel picked 3 ripe apples from her tree. Now the tree has 2 ripe apples and 27 unripe apples. How many ripe apples did the tree have to begin with?
chal-165,Paul had 115 books. He sold 78 books in a garage sale.,How many books does he have left with him?,( 115.0 - 78.0 ),37,Subtraction,Paul had 115 books. He sold 78 books in a garage sale. How many books does he have left with him?
chal-336,Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf.,How many more action figures than books were on his shelf?,( 7.0 - ( 2.0 + 4.0 ) ),1,Subtraction,Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf. How many more action figures than books were on his shelf?
chal-601,Rachel's tree had 4 apples initially. She picked some apples and now there are 2 apples left on the tree.,How many apples did rachel pick?,( 4.0 - 2.0 ),2,Subtraction,Rachel's tree had 4 apples initially. She picked some apples and now there are 2 apples left on the tree. How many apples did rachel pick?
chal-917,Baker made 134 pastries and 11 cakes. If he sold 140 cakes and 92 pastries,How many more pastries than cakes did baker make?,( 134.0 - 11.0 ),123,Subtraction,Baker made 134 pastries and 11 cakes. If he sold 140 cakes and 92 pastries How many more pastries than cakes did baker make?
chal-473,Rebecca wants to split a collection of eggs into groups of 5. Rebecca has 10 marbles and 15 eggs.,How many groups will be created?,( 15.0 / 5.0 ),3,Common-Division,Rebecca wants to split a collection of eggs into groups of 5. Rebecca has 10 marbles and 15 eggs. How many groups will be created?
chal-448,Every day Ryan spends a total of 3 hours on learning english and chinese. If he spends 2 hours on learning english everyday,How many hours does he spend on learning chinese?,( 3.0 - 2.0 ),1,Subtraction,Every day Ryan spends a total of 3 hours on learning english and chinese. If he spends 2 hours on learning english everyday How many hours does he spend on learning chinese?
chal-108,There are 141 pots. Each pot has 71 flowers and 91 sticks in it.,How many flowers are there in all?,( 141.0 * 71.0 ),10011,Multiplication,There are 141 pots. Each pot has 71 flowers and 91 sticks in it. How many flowers are there in all?
chal-857,Debby bought 264 water bottles when they were on sale. If she drank 15 bottles a day for 11 days.,How many bottles does she have left?,( 264.0 - ( 15.0 * 11.0 ) ),99,Subtraction,Debby bought 264 water bottles when they were on sale. If she drank 15 bottles a day for 11 days. How many bottles does she have left?
chal-156,Carol was sending out birthday invitations to 10 friends. If each package of invitations she bought had 2 invitations in it,How many packs does she need so that no friend gets left out?,( 10.0 / 2.0 ),5,Common-Division,Carol was sending out birthday invitations to 10 friends. If each package of invitations she bought had 2 invitations in it How many packs does she need so that no friend gets left out?
chal-459,41 campers went rowing and 4 campers went hiking in the morning. 26 campers went rowing in the afternoon.,How many campers went rowing and hiking in all?,( ( 41.0 + 26.0 ) + 4.0 ),71,Addition,41 campers went rowing and 4 campers went hiking in the morning. 26 campers went rowing in the afternoon. How many campers went rowing and hiking in all?
chal-281,Jessie currently weighs 9 kilograms. After she started to go jogging everyday she lost 62 kilograms in the first week and 140 kilograms in the second week.,How much did she weigh before starting to jog?,( ( 9.0 + 62.0 ) + 140.0 ),211,Addition,Jessie currently weighs 9 kilograms. After she started to go jogging everyday she lost 62 kilograms in the first week and 140 kilograms in the second week. How much did she weigh before starting to jog?
chal-208,"Every day Ryan spends 2 hours on learning english, 5 hours on learning chinese and 4 hours on learning spanish.",How many more hours does he spend on learning chinese than he does on learning spanish?,( 5.0 - 4.0 ),1,Subtraction,"Every day Ryan spends 2 hours on learning english, 5 hours on learning chinese and 4 hours on learning spanish. How many more hours does he spend on learning chinese than he does on learning spanish?"
chal-155,Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday.,How many more kids did she play with on monday than on wednesday?,( 6.0 - 4.0 ),2,Subtraction,Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday. How many more kids did she play with on monday than on wednesday?
chal-588,Baker made 62 cakes. Then he made 149 more cakes. He sold 144 of them.,How many cakes would baker still have?,( ( 62.0 - 144.0 ) + 149.0 ),67,Addition,Baker made 62 cakes. Then he made 149 more cakes. He sold 144 of them. How many cakes would baker still have?
chal-758,He then went to see the oranges being harvested. He found out that they harvest 41 sacks of unripe oranges and 86 sacks of ripe oranges per day.,How many more sacks of ripe oranges than unripe oranges are harvested per day?,( 86.0 - 41.0 ),45,Subtraction,He then went to see the oranges being harvested. He found out that they harvest 41 sacks of unripe oranges and 86 sacks of ripe oranges per day. How many more sacks of ripe oranges than unripe oranges are harvested per day?
chal-986,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework.",How many more pages of math homework than biology homework did she have?,( 11.0 - 3.0 ),8,Subtraction,"Rachel had to complete 11 pages of math homework, 2 pages of reading homework and 3 more pages of biology homework. How many more pages of math homework than biology homework did she have?"
chal-384,Paul got a box of 601 crayons and 406 erasers for his birthday. At the end of the school year he only had 336 crayons left while not having lost a single eraser.,How many more erasers than crayons did he have left?,( 406.0 - 336.0 ),70,Subtraction,Paul got a box of 601 crayons and 406 erasers for his birthday. At the end of the school year he only had 336 crayons left while not having lost a single eraser. How many more erasers than crayons did he have left?
chal-802,Julia played tag with 14 kids on tuesday. If she played tag with 8 more kids on monday than on tuesday,How many kids did she play with on monday?,( 14.0 + 8.0 ),22,Addition,Julia played tag with 14 kids on tuesday. If she played tag with 8 more kids on monday than on tuesday How many kids did she play with on monday?
chal-649,In Haley's class 4 are boys who love to play marbles. If Haley has 23 marbles and wants to keep 15 marbles for herself,How many will each of the boys receive?,( ( 23.0 - 15.0 ) / 4.0 ),2,Common-Division,In Haley's class 4 are boys who love to play marbles. If Haley has 23 marbles and wants to keep 15 marbles for herself How many will each of the boys receive?
chal-807,"18 red peaches, 14 yellow peaches and 17 green peaches are in the basket.",How many red and yellow peaches are in the basket?,( 18.0 + 14.0 ),32,Addition,"18 red peaches, 14 yellow peaches and 17 green peaches are in the basket. How many red and yellow peaches are in the basket?"
chal-537,Winter is almost here and most animals are migrating to warmer countries. There are 49 bird families living near the mountain. 59 bird families flew away for winter and 24 new bird families came to live near the mountain from the arctic.,How many bird families were left near the mountain?,( ( 49.0 - 59.0 ) + 24.0 ),14,Addition,Winter is almost here and most animals are migrating to warmer countries. There are 49 bird families living near the mountain. 59 bird families flew away for winter and 24 new bird families came to live near the mountain from the arctic. How many bird families were left near the mountain?
chal-504,Bobby had 19 pieces of candy. He ate 2 pieces of candy.,How many pieces of candy does he still have left?,( 19.0 - 2.0 ),17,Subtraction,Bobby had 19 pieces of candy. He ate 2 pieces of candy. How many pieces of candy does he still have left?
chal-738,Rachel had to complete 5 pages of math homework and yet more pages of reading homework. If she had to complete a total of 7 pages of homework,How many pages of reading homework did she have to complete?,( 7.0 - 5.0 ),2,Subtraction,Rachel had to complete 5 pages of math homework and yet more pages of reading homework. If she had to complete a total of 7 pages of homework How many pages of reading homework did she have to complete?
chal-560,Randy has 79 blocks. He uses 14 blocks to build a tower and 11 blocks to build a house.,How many blocks are left?,( 79.0 - ( 14.0 + 11.0 ) ),54,Subtraction,Randy has 79 blocks. He uses 14 blocks to build a tower and 11 blocks to build a house. How many blocks are left?
chal-545,Danny collects bottle caps. He found 36 bottle caps at the park while he threw away 35 old ones. Now he has 22 bottle caps in his collection.,How many more bottle caps did danny find at the park than those he threw away?,( 36.0 - 35.0 ),1,Subtraction,Danny collects bottle caps. He found 36 bottle caps at the park while he threw away 35 old ones. Now he has 22 bottle caps in his collection. How many more bottle caps did danny find at the park than those he threw away?
chal-357,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 24 pounds. On the way back Marco lost 9 pounds of strawberries. Marco's strawberries now weighed 3 pounds.,How much did his dad's strawberries weigh?,( 24.0 - ( 3.0 + 9.0 ) ),12,Subtraction,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 24 pounds. On the way back Marco lost 9 pounds of strawberries. Marco's strawberries now weighed 3 pounds. How much did his dad's strawberries weigh?
chal-207,"Rachel had to complete 8 pages of math homework, 7 pages of reading homework and 3 more pages of biology homework.",How many pages of math and biology homework did she have to complete?,( 8.0 + 3.0 ),11,Addition,"Rachel had to complete 8 pages of math homework, 7 pages of reading homework and 3 more pages of biology homework. How many pages of math and biology homework did she have to complete?"
