Problem,Rationale,options,correct,annotated_formula,linear_formula,category
how many ounces of a 60 % salt solution must be added to 30 ounces of a 20 percent salt solution so that the resulting mixture is 40 % salt ?,"""let x = ounces of 60 % salt solution to be added . 2 * 30 + . 6 x = . 4 ( 30 + x ) x = 30 answer b""","a ) 16.67 , b ) 30 , c ) 50 , d ) 60.33 , e ) 70",b,"divide(subtract(multiply(divide(40, const_100), 30), multiply(divide(20, const_100), 30)), subtract(divide(40, const_100), divide(20, const_100)))","divide(n3,const_100)|divide(n2,const_100)|multiply(n1,#0)|multiply(n1,#1)|subtract(#0,#1)|subtract(#2,#3)|divide(#5,#4)|",gain
"if 20 % of a is the same as 30 % of b , then a : b is :","""expl : 20 % of a i = 30 % of b = 20 a / 100 = 30 b / 100 = 3 / 2 = 3 : 2 answer : d""","a ) 5 : 4 , b ) 5 : 3 , c ) 4 : 3 , d ) 3 : 2 , e ) 1 : 3",d,"divide(divide(30, const_100), divide(20, const_100))","divide(n1,const_100)|divide(n0,const_100)|divide(#0,#1)|",gain
"d and e are two points respectively on sides ab and ac of triangle abc such that de is parallel to bc . if the ratio of area of triangle ade to that of the trapezium decb is 144 : 25 and bc = 13 cm , then find the length of de .","""abc and ade are similar triangles . so ( side of abc / side of ade ) ^ 2 = 25 / 169 side of abc / side of ade = 5 / 13 so the length of de = 5 answer - c""","a ) 12 , b ) 13 , c ) 14 , d ) 11 , e ) 15",c,"multiply(sqrt(divide(25, add(25, 144))), 13)","add(n0,n1)|divide(n1,#0)|sqrt(#1)|multiply(n2,#2)|",geometry
"working alone at its constant rate , machine a produces x boxes in 10 minutes and working alone at its constant rate , machine b produces 2 x boxes in 5 minutes . how many minutes does it take machines a and b , working simultaneously at their respective constant rates , to produce 10 x boxes ?","""rate = work / time given rate of machine a = x / 10 min machine b produces 2 x boxes in 5 min hence , machine b produces 4 x boxes in 10 min . rate of machine b = 4 x / 10 we need tofind the combined time that machines a and b , working simultaneouslytakeat their respective constant rates let ' s first find the combined rate of machine a and b rate of machine a = x / 10 min + rate of machine b = 4 x / 10 = 5 x / 10 now combine time = combine work needs to be done / combine rate = 10 x / 5 x * 10 = 6 min ans : e""","a ) 13 minutes , b ) 14 minutes , c ) 15 minutes , d ) 16 minutes , e ) 20 minutes",e,"divide(multiply(10, 10), add(speed(10, 10), speed(multiply(2, 10), 5)))","multiply(n0,n3)|multiply(n0,n1)|speed(n0,n0)|speed(#1,n2)|add(#2,#3)|divide(#0,#4)|",physics
"if y > 0 , ( 1 y ) / 20 + ( 3 y ) / 10 is what percent of y ?","""can be reduced to y / 20 + 3 y / 10 = 7 y / 20 = 35 % a""","a ) 35 % , b ) 50 % , c ) 60 % , d ) 70 % , e ) 80 %",a,"multiply(const_100, add(divide(1, 20), divide(3, 10)))","divide(n1,n2)|divide(n3,n4)|add(#0,#1)|multiply(#2,const_100)|",general
"how many of the positive factors of 25 , 15 and how many common factors are there in numbers ?","""factors of 25 - 1 , 5 , and 25 factors of 15 - 1 , 3 , 5 and 15 comparing both , we have three common factors of 45,16 - 2 answer b""","a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",b,"divide(15, 25)","divide(n1,n0)|",other
"a certain college ' s enrollment at the beginning of 1992 was 20 percent greater than it was at the beginning of 1991 , and its enrollment at the beginning of 1993 was 5 percent greater than it was at the beginning of 1992 . the college ' s enrollment at the beginning of 1993 was what percent greater than its enrollment at the beginning of 1991 ?","""suppose enrollment in 1991 was 100 then enrollment in 1992 will be 120 and enrollment in 1993 will be 120 * 1.05 = 126 increase in 1993 from 1991 = 126 - 100 = 26 answer : b""","a ) 17.5 % , b ) 26 % , c ) 30 % , d ) 35 % , e ) 38 %",b,"subtract(multiply(add(const_100, 20), divide(add(const_100, 5), const_100)), const_100)","add(n1,const_100)|add(n4,const_100)|divide(#1,const_100)|multiply(#0,#2)|subtract(#3,const_100)|",gain
"of the 17,210 employees of the anvil factory , 2 / 7 are journeymen . if half of the journeymen were laid off , what percentage of the total remaining employees would be journeymen ?","""the exam gives us a number that is easily divisible by 7 to pique our curiosity and tempt us into calculating actual numbers ( also because otherwise the ratio would be incorrect ) . since the question is about percentages , the actual numbers will be meaningless , as only the ratio of that number versus others will be meaningful . nonetheless , for those who are curious , each 1 / 7 portion represents ( 14210 / 7 ) 2,030 employees . this in turn means that 4,060 employees are journeymen and the remaining 10,150 are full time workers . if half the journeymen were laid off , that would mean 1 / 7 of the total current workforce would be removed . this statistic is what leads many students to think that since half the journeymen are left , the remaining journeymen would represent half of what they used to be , which means 1 / 7 of the total workforce . if 1 / 7 of the workforce is journeymen , and 1 / 7 is roughly 14.3 % , then answer choice a should be the right answer . in this case , though , it is merely the tempting trap answer choice . what changed between the initial statement and the final tally ? well , you let go of 1 / 7 of the workforce , so the total number of workers went down . the remaining workers are still 1 / 7 of the initial workers , but the group has changed . the new workforce is smaller than the original group , specifically 6 / 7 of it because 1 / 7 was eliminated . the remaining workers now account for 1 / 7 out of 6 / 7 of the force , which if we multiply by 7 gives us 1 out of 6 . this number as a percentage is answer choice b , 28.6 % . using the absolute numbers we calculated before , there were 4,060 journeymen employees out of 14,210 total . if 2,030 of them are laid off , then there are 2,030 journeyman employees left , but now out of a total of ( 14,210 - 2,030 ) 12,180 employees . 2,030 / 12,180 is exactly 1 / 6 , or 16.67 % . the answer will work with either percentages or absolute numbers , but the percentage calculation will be significantly faster and applicable to any similar situation . the underlying principle of percentages ( and , on a related note , ratios ) can be summed up in the brainteaser i like to ask my students : if you ’ re running a race and you overtake the 2 nd place runner just before the end , what position do you end up in ? the correct answer is 2 nd place . percentages , like ratios and other concepts of relative math , depend entirely on the context . whether 100 % more of something is better than 50 % more of something else depends on the context much more than the percentages quoted . when it comes to percentages on the gmat , the goal is to understand them enough to instinctively not fall into the traps laid out for you . d""","a ) 14.3 % , b ) 16.67 % , c ) 33 % , d ) 28.6 % , e ) 49.67 %",d,"multiply(multiply(divide(divide(divide(2, 7), 2), add(divide(divide(2, 7), 2), subtract(const_1, divide(2, 7)))), const_100), const_3)","divide(n1,n2)|divide(#0,n1)|subtract(const_1,#0)|add(#1,#2)|divide(#1,#3)|multiply(#4,const_100)|multiply(#5,const_3)|",general
"an electric pump can fill a tank in 10 hours . because of a leak in the tank , it took 20 hours to fill the tank . if the tank is full , how much time will the leak take to empty it ?","""work done by the leak in 1 hour = 1 / 10 - 1 / 20 = 1 / 20 the leak will empty the tank in 20 hours answer is c""","a ) 10 hours , b ) 12 hours , c ) 20 hours , d ) 5 hours , e ) 15 hours",c,"divide(20, const_1)","divide(n1,const_1)|",physics
"for every even positive integer m , f ( m ) represents the product of all even integers from 2 to m , inclusive . for example , f ( 12 ) = 2 x 4 x 6 x 8 x 10 x 12 . what is the greatest prime factor of f ( 36 ) ?","""f ( 36 ) = 2 * 4 * 6 * 8 * 10 * 12 * 14 * 16 * 18 * 20 * 22 * 24 * 26 * 28 * 30 * 32 * 34 * 36 the greatest prime factor in this list is 17 . the answer is d .""","a ) 2 , b ) 5 , c ) 11 , d ) 17 , e ) 23",d,"subtract(divide(36, 2), const_1)","divide(n8,n0)|subtract(#0,const_1)|",general
"pipe a can fill a tank in 10 hours . due to a leak at the bottom , it takes 15 hours for the pipe a to fill the tank . in what time can the leak alone empty the full tank ?",let the leak can empty the full tank in x hours 1 / 10 - 1 / x = 1 / 15 = > 1 / x = 1 / 10 - 1 / 15 = ( 3 - 2 ) / 30 = 1 / 30 = > x = 30 . answer : e,"a ) 76 , b ) 84 , c ) 56 , d ) 75 , e ) 30",e,"divide(multiply(15, 10), subtract(15, 10))","multiply(n0,n1)|subtract(n1,n0)|divide(#0,#1)",physics
5 women can do a work in two days . 10 men can complete the same work in five days . what is the ratio between the capacity of a man and a woman ?,"""explanation : ( 5 ã — 2 ) women can complete the work in 1 day . â ˆ ´ 1 woman ' s 1 day ' s work = 1 / 10 ( 10 ã — 5 ) men can complete the work in 1 day . â ˆ ´ 1 man ' s 1 day ' s work = 1 / 50 so , required ratio = 1 / 10 : 1 / 50 = 1 : 5 answer : b""","a ) 1 : 2 , b ) 1 : 5 , c ) 2 : 3 , d ) 3 : 2 , e ) none of these",b,"divide(divide(const_1, multiply(5, 10)), divide(const_1, multiply(10, const_10)))","multiply(n0,n1)|multiply(n1,const_10)|divide(const_1,#0)|divide(const_1,#1)|divide(#2,#3)|",physics
what is the positive difference between the sum of the squares of the first 8 positive integers and the sum of the prime numbers between the first square and fourth square ?,"""forget conventional ways of solving math questions . in ps , ivy approach is the easiest and quickest way to find the answer . the sum of the squares of the first 4 positive integers = 1 ^ 2 + 2 ^ 2 + 3 ^ 2 + . . . + 8 ^ 2 = 204 the sum of the prime numbers between the first square ( = 1 ) and fourth square ( = 16 ) = 2 + 3 + 5 + 7 + 11 + 13 = 41 . so the difference between 41 and 204 is 163 . so the answer is ( c ) .""","a ) 161 , b ) 162 , c ) 163 , d ) 164 , e ) 165",c,"subtract(add(add(add(add(add(const_1, power(const_2, const_2)), power(const_3, const_2)), power(const_4, const_2)), power(add(const_4, const_1), const_2)), power(8, const_2)), add(add(add(const_4, const_3), 8), add(add(add(add(const_2, const_3), add(const_4, const_1)), add(const_4, const_3)), add(add(const_2, const_3), 8))))","add(const_1,const_4)|add(const_3,const_4)|add(const_2,const_3)|power(const_2,const_2)|power(const_3,const_2)|power(const_4,const_2)|power(n0,const_2)|add(#3,const_1)|add(n0,#1)|add(#2,#0)|add(n0,#2)|power(#0,const_2)|add(#7,#4)|add(#9,#1)|add(#12,#5)|add(#13,#10)|add(#14,#11)|add(#8,#15)|add(#16,#6)|subtract(#18,#17)|",general
"the average age of 19 persons in a office is 15 years . out of these , the average age of 5 of them is 14 years and that of the other 9 persons is 16 years . the age of the 15 th person is ?","""age of the 15 th student = 19 * 15 - ( 14 * 5 + 16 * 9 ) = 285 - 214 = 71 years answer is b""","a ) 9 , b ) 71 , c ) 85 , d ) 92 , e ) 90",b,"subtract(subtract(multiply(19, 15), multiply(5, 14)), multiply(9, 16))","multiply(n0,n1)|multiply(n2,n3)|multiply(n4,n5)|subtract(#0,#1)|subtract(#3,#2)|",general
"a pet store regularly sells pet food at a discount of 10 percent to 30 percent from the manufacturer ’ s suggested retail price . if during a sale , the store discounts an additional 20 percent from the discount price , what would be the lowest possible price of a container of pet food that had a manufacturer ’ s suggested retail price o f $ 40.00 ?","""for retail price = $ 40 first maximum discounted price = 40 - 30 % of 40 = 40 - 12 = 28 price after additional discount of 20 % = 28 - 20 % of 28 = 28 - 5.6 = 22.4 answer : option c""","a ) $ 10.00 , b ) $ 11.20 , c ) $ 22.40 , d ) $ 16.00 , e ) $ 18.00",c,"multiply(divide(subtract(const_100, 20), const_100), multiply(divide(subtract(const_100, 30), const_100), 40.00))","subtract(const_100,n2)|subtract(const_100,n1)|divide(#0,const_100)|divide(#1,const_100)|multiply(n3,#3)|multiply(#2,#4)|",gain
"the perimeter of an equilateral triangle is 60 . if one of the sides of the equilateral triangle is the side of an isosceles triangle of perimeter 45 , then how long is the base of isosceles triangle ?","""the base of the isosceles triangle is 45 - 20 - 20 = 5 units the answer is a .""","a ) 5 units , b ) 10 units , c ) 15 units , d ) 20 units , e ) 25 units",a,"subtract(subtract(45, divide(60, const_3)), divide(60, const_3))","divide(n0,const_3)|subtract(n1,#0)|subtract(#1,#0)|",geometry
"a small table has a length of 12 inches and a breadth of b inches . cubes are placed on the surface of the table so as to cover the entire surface . the maximum side of such cubes is found to be 4 inches . also , a few such tables are arranged to form a square . the minimum length of side possible for such a square is 80 inches . find b .","from the info that the maximum sides of the cubes is 4 , we know that the gcf of 12 ( = 2 ^ 2 * 3 ) andbis 4 ( = 2 ^ 2 ) , sob = 2 ^ x , where x > = 2 . from the second premise , we know that the lcm of 12 ( 2 ^ 2 * 3 ) andbis 80 ( 2 ^ 4 * 5 ) , sob = 2 ^ 4 or 2 ^ 4 * 5 ( 16 or 80 ) . combining 2 premises shows the answer is b ( 16 ) .","['a ) 8', 'b ) 16', 'c ) 24', 'd ) 32', 'e ) 48']",b,"sqrt(subtract(power(divide(80, 4), const_2), power(12, const_2)))","divide(n2,n1)|power(n0,const_2)|power(#0,const_2)|subtract(#2,#1)|sqrt(#3)",geometry
calculate the ratio between x and y if 25 % of x equal to 40 % of y ?,"""explanation : 25 x = 40 y x : y = 25 : 40 = 5 : 8 answer : a""","a ) 5 : 8 , b ) 5 : 9 , c ) 5 : 7 , d ) 5 : 6 , e ) 5 : 4",a,"divide(25, 40)","divide(n0,n1)|",general
. 003 / ? = . 01,"""let . 003 / x = . 01 ; then x = . 003 / . 01 = . 3 / 1 = . 3 answer is a""","a ) . 3 , b ) . 09 , c ) . 009 , d ) . 0009 , e ) none of them",a,"divide(divide(003, const_1000), divide(01, const_100))","divide(n0,const_1000)|divide(n1,const_100)|divide(#0,#1)|",general
"if √ 10 = 3.16 , find the value of if √ 5 / 2",explanation : √ ( 5 / 2 ) = √ ( 5 × 2 / 2 × 2 ) = √ ( 10 ) / 2 = 3.16 / 2 = 1.58 answer : b,"a ) 1.3 , b ) 1.58 , c ) 2.03 , d ) 2.15 , e ) 3.15",b,"sqrt(divide(5, 2))","divide(n2,n3)|sqrt(#0)",general
"the length of a rectangular plot is 20 metres more than its breadth . if the cost of fencing the plot @ rs . 26.50 per metre is rs . 7420 , what is the length of the plot in metres ?","""let length of plot = l meters , then breadth = l - 20 meters and perimeter = 2 [ l + l - 20 ] = [ 4 l - 40 ] meters [ 4 l - 40 ] * 26.50 = 7420 [ 4 l - 40 ] = 7420 / 26.50 = 280 4 l = 320 l = 320 / 4 = 80 meters . answer : e""","a ) 20 , b ) 200 , c ) 300 , d ) 400 , e ) 80",e,"subtract(divide(divide(7420, 26.50), const_2), multiply(const_2, 20))","divide(n2,n1)|multiply(n0,const_2)|divide(#0,const_2)|subtract(#2,#1)|",physics
30 men can do a work in 40 days . when should 12 men leave the work so that the entire work is completed in 40 days after they leave the work ?,"""total work to be done = 30 * 40 = 1200 let 12 men leave the work after ' p ' days , so that the remaining work is completed in 40 days after they leave the work . 40 p + ( 12 * 40 ) = 1200 40 p = 720 = > p = 18 days answer : a""","a ) 18 days , b ) 10 days , c ) 55 days , d ) 44 days , e ) 22 days",a,"divide(subtract(multiply(30, 40), multiply(40, 12)), 40)","multiply(n0,n1)|multiply(n1,n2)|subtract(#0,#1)|divide(#2,n1)|",physics
"carrie likes to buy t - shirts at the local clothing store . they cost $ 9.65 each . one day , she bought 12 t - shirts . how much money did she spend ?",$ 9.65 * 12 = $ 115.8 . answer is a .,"a ) $ 115.8 , b ) $ 248.75 , c ) $ 200 , d ) $ 171.6 , e ) $ 190",a,"floor(multiply(12, 9.65))","multiply(n0,n1)|floor(#0)|",general
a train 110 m long is running with a speed of 30 km / h . in how many seconds will the train pass a man who is running at 3 km / h in the direction opposite to that in which the train is going ?,"""the speed of the train relative to the man = 30 + 3 = 33 km / h . 33000 m / h * 1 h / 3600 s = ( 330 / 36 ) m / s ( 110 m ) / ( 330 / 36 m / s ) = ( 110 * 36 ) / 330 = 36 / 3 = 12 seconds the answer is d .""","a ) 6 , b ) 8 , c ) 10 , d ) 12 , e ) 14",d,"divide(110, divide(add(30, 3), const_3_6))","add(n1,n2)|divide(#0,const_3_6)|divide(n0,#1)|",physics
"kanul spent $ 3000 in buying raw materials , $ 1000 in buying machinery and 30 % of the total amount he had as cash with him . what was the total amount ?","""let the total amount be x then , ( 100 - 30 ) % of x = 3000 + 1000 70 % of x = 4000 70 x / 100 = 4000 x = $ 40000 / 7 x = $ 5714.28 answer is c""","a ) $ 5825.16 , b ) $ 5725.26 , c ) $ 5714.28 , d ) $ 5912.52 , e ) $ 5614.46",c,"divide(add(3000, 1000), subtract(const_1, divide(30, const_100)))","add(n0,n1)|divide(n2,const_100)|subtract(const_1,#1)|divide(#0,#2)|",gain
"a sporting goods store sold 64 frisbees in one week , some for $ 3 and the rest for $ 4 each . if receipts from frisbee sales for the week totaled $ 204 , what is the fewest number of $ 3 frisbees that could have been sold ?","""in this question however , because we are told that exactly 64 frisbees have been sold and revenue was exactly $ 204 , there is only one possible solution for the number of $ 3 and $ 4 frisbees sold . to solve , we have 2 equations and 2 unknowns let x = number of $ 3 frisbees sold let y = number of $ 4 frisbees sold x + y = 64 3 x + 4 y = 204 x = 64 - y 3 ( 64 - y ) + 4 y = 204 192 - 3 y + 4 y = 204 y = 12 x = 64 - 12 = 52 d""","a ) 24 , b ) 12 , c ) 8 , d ) 52 , e ) 2",d,"subtract(204, multiply(64, 3))","multiply(n0,n1)|subtract(n3,#0)|",general
